file	project	class	lines	recoveredCounterpart
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICinematicBase.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	18	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICinematicBase.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICinematicFactory.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	5	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICinematicFactory.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IFlagsKeyframe.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	5	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IFlagsKeyframe.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IGlobalCinematicManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	6	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IGlobalCinematicManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IKeyframeAction.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	7	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IKeyframeAction.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ITransition.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	10	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ITransition.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IVisualEffect.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	12	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IVisualEffect.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IVisualEffectEnd.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	5	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IVisualEffectEnd.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat.CrowdControl\ICCStateInstance.cs	NexusUnleashed.Game.Abstract	C-MODIFIED	17	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat.CrowdControl\ICCStateInstance.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat.CrowdControl\ICCStateManager.cs	NexusUnleashed.Game.Abstract	C-MODIFIED	14	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat.CrowdControl\ICCStateManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat\IHostileEntity.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	7	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat\IHostileEntity.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat\IThreatManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	16	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Combat\IThreatManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationInfo.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	11	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationInfo.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationInfoCollection.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	9	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationInfoCollection.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationLabel.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	8	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationLabel.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	13	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationSelection.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	7	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Customisation\ICustomisationSelection.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Entitlement\IEntitlement.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	9	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Entitlement\IEntitlement.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Entitlement\IEntitlementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	10	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Entitlement\IEntitlementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Entity.Creature\ICreatureInfo.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	23	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Entity.Creature\ICreatureInfo.cs
